Rating,Title,Review
5,Just wow!,xcellent One. Highly recommended.
4,Worth the money,xcellent product.
5,Mind-blowing purchase,Good
5,Just wow!,Very good
4,Good choice,Not used much recently purchased but so far so good
1,Very poor,"I have received damaged product for replacement u making me to await more 10 days, I need the product on urgent basis"
3,Fair,"Performance is good, installation demo bad and got some defect on product"
5,Brilliant,Good
1,Did not meet expectations,Giving the review using it after a month. Machine stopped working after a month. Very bad product quality.
5,Super!,Good service by delivery boy
5,Great product,Very good .
5,Awesome,I am very happy with this product ... Thank you flipkart
5,Best in the market!,So happy with the product. Whirlpool installation and service is also good
5,Must buy!,Very nice
4,Wonderful,"Purchased the product on Feb 2020 and using it from last few months. As expected with whirlpool the product is nice with a good wash quality. The inlet pipe length is too low for sure, if you plans to keep it bit far away from water inlet you need to look for this issue. When compared to the previous machine from whirlpool, I found this as noisy. The old 10 year machine wasn't producing this much noise earlier and during its last days it was making some noise, which unfortunately the current ..."
4,Really Nice,Good products 👍👌
2,Slightly disappointed,There are hidden charges from Whirlpool.It's mandatory to connect extra fittings like water filter and cleaning powder.With out water filter they won't fit the washing machine.Water filter cost 2000/- and 570/- for the cleaning powderSo additional 2570/- will be charged.
5,Just wow!,nice washing machine best prices
5,Mind-blowing purchase,Very very super
1,Absolute rubbish!,I had some program problems with the machine
4,Good quality product,Good
4,Value-for-money,Nice
1,Not recommended at all,Washing Machines motor does not performing after 3-4 wash
5,Excellent,xcellent quality
5,Awesome,Poor response from whirlpool  team....demo and instalation not done in 3 days
3,Decent product,Child lock botton ot working
1,Not recommended at all,Not happy with this product
5,Great product,Good one
4,Worth the money,Good
3,Nice,This machin have to be cleaned for lint from inside by a technicean every 6 month which is too bad.but performance 4star design 3star ok for 2ppl
1,Not recommended at all,No engineer reaches for installation
5,Best in the market!,eally superbb 🌟 🌟 🌟 🌟 🌟
4,Value-for-money,Nyc machine ..mainly the installation report was very nycccccccc
5,Just wow!,wesome in this price category
3,Just okay,It's rotation or spin is very less. According to my earlier whirlpool machine .It's it's rotate little more while washing .that much good.Balance all are ok
3,Nice,It takes to much time.and at one time you can wash only 4-5 clothes.
4,Very Good,eet the expectations. thanks Flipkart for good demo and installation.
5,Great product,Good Product
4,Nice product,Good product.
4,Wonderful,Nice Design and working goodSuitable for small(4 members) families
5,Awesome,Nice products.. And same day installation
4,Good choice,Worst installation and demo process and machine works absolutely good
5,Perfect product!,xcellent
5,Classy product,Very easy to use.Value for moneyPlastic quantity could have been better.Uses a lot of water because of the auto detect feature.
5,Worth every penny,"The product has an unassuming look. It works well for a small family. Easy to use and multiple use profiles.However during installation, I purchases two more products. One for the water inlet and the other was Scaleg9je to prevent scale formation in tub. So had to pay 4k extra."
5,Terrific,Waste product iam not satisfied time waste this product
5,Best in the market!,Very happy with the product.. The delivery was done perfectly
5,Terrific purchase,"easonably priced, awesome quality and finish. I Thank  Flipkart for the best deal.Executive Mr Manohar helped us installing the machine.He is very polite and professional"
5,Terrific purchase,Working well
5,Classy product,Good..
5,Awesome,Good quality 👌 Money value 👍
1,Utterly Disappointed,Installation team was pathetic non supportive . Not came on time the day on which installation was there
5,Perfect product!,Thanks to Flipkart
5,Brilliant,Good
5,Great product,Best washing machine under 13 k . Best features and low price . Design is also very good . Thanks to flipkart.
