Rating,Title,Review
5,Terrific purchase,"The product is superb and value for money, i got it at 22k it's a good machine by samsung , dilevery and installation are good.."
1,Useless product,The installation was below average
5,Fabulous!,Good product
4,Delightful,Liked it very much..really good and no complaints till date..should check about drum clean after 40washes as it is just one month that I have taken this and then I can add more points to this
5,Great product,Best product under 20k
5,Mind-blowing purchase,k
5,Awesome,"Well done Flipkart, you have delivered this product to an area I never thought you guys will do. Pin code 793022. Thank you guys the washing machine is excellent at an amazing price. I will come back to buy more things from Flipkart"
5,Brilliant,Capacity could.have been increased by making door depth bit less .
5,Worth every penny,Cheapest online price. Compared to show rooms.
5,Worth every penny,Name is enough
1,Terrible product,Product is good but installation very very patheticProduct received but installation more then 10 days yet not done no response from Flipkart don't buy products from a distributor
5,Simply awesome,"ne of the best product in market, if you want all the features in 22k budget go for this, personally i don't like hanky fanky features, but u can customize as per your need with the given features. A big yes"
5,Brilliant,Sel for just 21800 good product very good it t
5,Best in the market!,wesome product in this price.
5,Super!,Nice
4,Good product - easy to use.,This is a review post 2 weeks of usage. The machine is simple to use and does the job better then one would expect. The delivery was on time - thanks to Flipkart and the best part was the quick installation by Samsung with detailed instructions on how to use it.The only downside is that the technician would insist on selling additional products from him like a sediment filter and washing machine cleaning agent - Do not buy that(he would try to scare you by saying - without these the machine...
5,Terrific purchase,Good
3,Decent product,rum size is too small.. compare with topload drum this one is very less in size.
4,Wonderful,Good View W
5,Best in the market!,"nice looks nice product,good features,good service"
5,Terrific purchase,"easy to use Ifeature-rich ,silent,low power consumption,studyEast or West Samsung is the best!"
5,Must buy!,compact design simplistic modules
4,Worth the money,verything is good.. But 30 and 40min options should have been there.. 15min is too less and the daily wash is minimum 64 minutes.. That's the only drawback..
5,Great product,Superb and very chip rate in online taken trail with cloth 1st time I am very satisfied thanks flipkart team
4,Pretty good,Very poor performance...taking so many water and not working properly...
5,Great product,Standard product
5,Great product,Sound is very low Water usage is normalFast delivery and one day installation
5,Worth every penny,Nice one notice levels also very less
5,Just wow!,I am happy for this...... 😄 Tq u Flipkart...
4,Good quality product,Noise is less abd value for money
5,Perfect product!,"Smart machine with easy to use controls.Very fast spin(1000rpm).Glass front door. Very stable at high speeds.My first Automatic Front Load Washing Machine, and fully satisfied with it. Value for money."
5,Worth every penny,xcellent Washing Machine for the price. The product was delivered on Saturday and the technician arrived on Monday. Have use the twice so far and found it quiet and effective. Samsung is a reliable brand and would recommend it blindly.
5,Best in the market!,xcellent machine at a price point of 14700...
4,Pretty good,It's worth... great deal by samsung
3,Decent product,Just ok
4,nice product but no eco bubble technology s mention nd shown,"about model : i received the product s per the model number mention in it. but this model dont have eco bubble techonolgy in it. so those who prefer to buy washing machine keeping eco bubble technology then i must say it doest include in this. company has post wrong pics and description for it. more over here it mention that there r 2 years and 5 year warrenty, but it comes with 3 year and 10 years warrentyabout product: after using for 21 days , the product is good and service is also good...."
5,Classy product,Perfect one..with less noise and vibration and cool design. The warranty is 3yrs plus 10 years on motor..flipkart description was confusing..anyway happy wit the product
5,Simply awesome,Very good product. But compare with top load 6kG the drum is small size. Capacity not similar 6kG top load
3,Nice,s mentioned in product description and details it does have magic dispenser
5,Highly recommended,"Product is awesome. Everything thing looks good. But the water inlet pipe is very short, which they have to think and give extended one. Rest all is perfect."
5,Fabulous!,Super
5,Wonderful,The product is good. Delivery and installation was good.. The warranty is for 3+ 10 years for complete and motor
4,Nice product,Good
2,Slightly disappointed,"Washing is not good in any preset program cycle, Clothes are considerably wet after spin cycle when compared to to a non inverter machine.Flipkart has falsely advertised it's feature having magic dispenser for its detergent tray which it does not have. This is misleading on Flipkart's part especially when it's a 'flipkart assured' product.Silent operation and low power consumption are definite pros. Warranty is good too."
3,Good,Thanks to flipkart todelivered the product on time. The  particular model of the washing machine does not remove the stain from the neck and hands collar area.Agin need to wash those areas manually.
5,Brilliant,ecent product ....  It will satisfy your washing needs
5,Worth every penny,Good performance and very quiet while washing. Delivered in two days and installed on time without any intimation or follow ups. Great experience altogether.
5,Just wow!,Very nice product and very nice installation and demo and ferfact delivery thanks to flipkart and Samsung
5,Wonderful,No noise. Impressed with samsung service. Great product !
4,Pretty good,"Product is good, but the installation/demo person don't know anything about product, waste of time, better to search in google and know how to install and use it"
4,Pretty good,Good in this price... Thank samsung and flipkart
4,Pretty good,Wonderful product.. Happy buying it.. 😊
5,Perfect product!,rdered on 16 June and delivered on 19 June.. Samsung guys visited on 20 June for installation . Machine working perfectly alright .. awesome produu by Samsung👍🏻👌🏻
5,Awesome,xcellent Product 👌👍
3,Nice,Wonderful
4,Nice product,"Just go for it one of the budget friendly machine wi  5star rating, if you place the machine on the proper stand machine dont shake much."
5,Mind-blowing purchase,I got product in good condition. Properly explained by engineear. But at the time of purchess I select for easy emi but still my easy emi not activated and my amount also not creadited in my account. Its worst experience I experienced in flipkart
5,Great product,Good quality im happy with that product
4,Worth the money,Functionally ok. No provision of slot for lifting or moving.  More vibrations at 1000 rpm.
1,Did not meet expectations,"ont buy this product, this product does not have a magic dispancer, but the company says that it has a magic dispancer."
5,Simply awesome,Good product
4,Wonderful,It's awesome
5,Highly recommended,Product is good and washing the clothes good. The options are more. Good to go.
4,Wonderful,"Good washing machine, i just received yesterday and installed today 9/07/20 washing machine was good and installed properly by team but not explained all features, we need explanation"
5,Perfect product!,awesome
5,Wonderful,I happy
5,Highly recommended,Very gud product by SAMSUNG This product daves time and clean the clothes perfect
5,Good,Good
4,Nice product,"xcellent product for a family of 4. I've been using it for a month now , and I'm quite satisfied with the results. Just make sure you pour 25-30ml matic liquid with the clothes itself , and then add 40-50ml matic liquid in the dispenser. You'll get excellent results."
5,Wonderful,"I recommend this washing machine to everyone, it uses less water, its 5 star machine so use less electricity,does not create any noise like other machine,does not vibrate while spin.Washing quality is also good.Ideal for 4-5 members.Go for it."
5,Mind-blowing purchase,xcellent performance
