product_name,product_price,product_rating
"IFB 6 kg 2D Wash Fully Automatic Front Load with In-built Heater White,IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,IFB 7 kg 2D Wash, Self Diagnosis Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Water softener Aqua Energie, Auto Imbalance Fully Automatic Top Load Silver,IFB 8 kg Unbalance correction, self-diagnosis Fully Automatic Front Load with In-built Heater Silver,IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,IFB 8.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7 kg Fully Automatic Top Load Grey,IFB 6 kg Fully Automatic Front Load with In-built Heater White,IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Fully Automatic Top Load Red,IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6 kg Fully Automatic Front Load with In-built Heater White,IFB 7 kg Fully Automatic Front Load with In-built Heater White,IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7.5 kg Fully Automatic Top Load Gold,IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,IFB 6.5 kg 3D Wash Fully Automatic Front Load with In-built Heater Silver,IFB 9.5 kg Fully Automatic Top Load Grey","20,990,15,490,27,490,19,499,35,490,25,990,29,490,39,990,22,167,24,490,28,990,30,990,20,600,28,490,26,990,32,490,32,899,36,500,36,250,26,499,25,500,16,990,29,990,28,990","4.3,4.3,4.3,4.3,4.5,4.1,4.3,4.4,4.3,4,4.4,4.3,4.3,4.6,4.2,4.2,4.3,3.7,4.4,4.3,4.2,4.3,4.4,4.1"
"IFB 8 kg Water softener Aqua Energie,3D Wash Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Wifi-Enabled Fully Automatic Front Load with In-built Heater White,IFB 8 kg Fully Automatic Top Load Grey,IFB 6.5 kg Fully Automatic Top Load Grey,IFB 7 kg Fully Automatic Top Load White,IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,IFB 7.5 kg Fully Automatic Top Load Silver,IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,IFB 8 kg Fully Automatic Top Load Silver,IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,IFB 6 kg Fully Automatic Front Load with In-built Heater White,IFB 7 kg Fully Automatic Front Load with In-built Heater White,IFB 8.5 kg Fully Automatic Top Load with In-built Heater Brown","33,499,32,490,26,690,18,990,20,490,30,990,36,990,23,999,24,070,32,490,28,690,29,999,31,499,28,899,28,999,23,999,33,950,31,900","4.4,4.3,4,4.3,4.3,4.3,4.3,4.2,4.3,4.4,4.3,4.4,4.3,4,4.3,4.4,3.7"
