Rating,Title,Review
5,Worth every penny,xcellent products
1,Worthless,very bad product and  product installation service is very bad
4,Very Good,"Purchasing years working good. Lloyd service available properly, gas leakage problem in next season,no proper cooling in next season after Refilled gas. And no free service available. For next 2 Years & no extanded option available."
4,Good choice,Product is gd but ac installation is worst...ac tecnicians are not responsing
4,Wonderful,It's very good product I purchased it on June 2019
5,Mind-blowing purchase,Good
1,Absolute rubbish!,I purchase  this ac on 12 aug 2019Facing many problm 2 bar gas rifil krwa di fir bhi same problam
