Rating,Title,Review
5,Terrific purchase,Product is good and works just fine as expected.But the guys whom come to install please be aware of them the will charge u extra money for the extra items like in my case they used extra copper wire of 2m but charged me for 3m.Rest everything is good.
4,Good choice,Good product
5,Terrific purchase,super I purchased 2 nos AC.  Iam Happy nice Installation.
1,Useless product,Very bad installation...
5,Highly recommended,Super..
5,Just wow!,Superb cooling.. Nice Product
5,Mind-blowing purchase,Good ac......My two rooms cooling with in 10 minutes....
