Rating,Title,Review
1,Waste of money!,Fitting charged .Don't refund cash.
5,Terrific purchase,Classy productBut godrej service is not good
5,Classy product,ecommend to buy
4,Delightful,The person who came for installation was not properly trained and they demand extra money without any reason
