Rating,Title,Review
3,Nice,"Nice product with good cooling and heating. However, AC remote could have been better in terms of design and quality. Also, in this price range Llyod should provide R32 gas with free gas charging during warranty period like LG dose. Otherwise, product is good."
5,Best in the market!,Very fast and efficient cooling. Not used in hot mode yet.
5,Brilliant,cooling is very fast max 10 minutes taken for cooling the room...
5,Great product,It's amazing Ac and the best part is it has heater also .Guys go for it it's cooling is ming blowing .
