Rating,Date,Title,Review
5,22-Jun-20,Would totally recommended this AC,Value for money.Excellent cooling at hot weathers.My big drawing room is cooled effectively.
1,04-Jun-20,"Efficient, Silent and Cost-effective BUT WHO IS GOING TO MAINTAIN IT?",The customer service of this ac is very bad. They have also closed my registered complaint without any visit very bad experience never buy Godrej products
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
